Tratamiento,Bloques,Vainas_por_planta,Granos_por_planta
Micorriza,I,6.50,22.08
Micorriza,II,8.17,26.67
Micorriza,III,6.50,26.58
Micorriza,IV,6.42,23.83
Micorriza_Rhizobium,I,7.08,31.50
Micorriza_Rhizobium,II,6.08,21.58
Micorriza_Rhizobium,III,5.67,23.50
Micorriza_Rhizobium,IV,5.67,18.17
Micorriza_Rhizobium_Trichoderma,I,5.58,22.42
Micorriza_Rhizobium_Trichoderma,II,5.42,21.75
Micorriza_Rhizobium_Trichoderma,III,5.75,24.17
Micorriza_Rhizobium_Trichoderma,IV,5.67,21.83
Micorriza_Trichoderma,I,6.33,22.17
Micorriza_Trichoderma,II,5.50,20.00
Micorriza_Trichoderma,III,5.50,21.50
Micorriza_Trichoderma,IV,8.58,35.17
Rhizobium,I,5.92,22.75
Rhizobium,II,5.42,15.42
Rhizobium,III,6.33,23.17
Rhizobium,IV,6.58,30.00
Rhizobium_Trichoderma,I,8.33,31.42
Rhizobium_Trichoderma,II,8.17,31.08
Rhizobium_Trichoderma,III,4.83,20.75
Rhizobium_Trichoderma,IV,5.58,20.67
Testigo,I,0.33,0.83
Testigo,II,0.50,1.33
Testigo,III,0.75,2.25
Testigo,IV,0.75,2.00
Trichoderma,I,4.25,11.67
Trichoderma,II,4.00,10.25
Trichoderma,III,5.25,15.75
Trichoderma,IV,4.17,13.25
